ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPBC3B9.19_39	mge1	SPBC3B9.19	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.167	0.964	1.189	2.086	8.579	18.766	16.68	6.597	5.212	109.967	-5.677	-6.302	0.992358	0.378	0.030091	0.0	2.656	5.652	8.615	10.141	12.559	0.479	2.569	5.423	8.551	10.77	12.149	-0.479	0.087	0.229	0.064	-0.629	0.41	5
SPCC18.14c_61	rpp0	SPCC18.14c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.42	1.065	-0.0	0.769	6.332	15.061	14.292	4.633	4.937	129.673	0.921	0.296	0.977024	0.655	0.04974	0.0	4.79	7.257	9.547	10.985	13.167	0.886	3.952	7.188	9.993	11.613	12.467	-0.886	0.838	0.069	-0.446	-0.628	0.7	8
SPAC4A8.11c_202	fas2	SPAC4A8.11c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.309	1.224	2.566	3.38	9.267	18.503	15.123	7.469	6.0	116.275	-3.663	-4.287	0.992529	0.447	0.032735	0.0	1.987	5.344	8.686	13.044	13.655	0.166	1.889	5.202	9.294	12.243	14.016	-0.166	0.098	0.142	-0.608	0.801	-0.361	7
SPAC8C9.15c_124	tif225	SPAC8C9.15c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.456	1.187	0.919	1.559	6.195	13.468	11.908	4.78	4.582	122.809	-8.984	-9.609	0.995546	0.287	0.024428	0.0	3.588	6.814	9.528	11.647	11.744	0.396	3.322	6.904	9.8	11.248	11.904	-0.396	0.266	-0.09	-0.272	0.399	-0.16	5
SPAC21E11.06_92	tif224	SPAC21E11.06	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.9	1.575	1.125	1.586	4.923	10.16	8.573	3.905	4.378	133.664	3.157	2.532	0.967132	0.789	0.064205	0.0	4.406	7.58	11.551	12.29	10.457	0.202	4.061	8.379	10.763	11.541	11.783	-0.202	0.345	-0.799	0.788	0.749	-1.326	5
SPCC18.16c_16	fmn1	SPCC18.16c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.377	1.347	0.828	1.434	5.821	12.705	11.271	4.482	4.921	136.856	-2.229	-2.853	0.988382	0.504	0.038513	0.0	4.357	7.39	10.87	13.079	12.4	0.442	3.881	7.89	10.91	12.317	12.916	-0.442	0.476	-0.5	-0.04	0.762	-0.516	8
SPCC330.08_86	alg11	SPCC330.08	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	10.841	1.081	1.725	2.337	6.767	13.717	11.38	5.415	3.988	101.255	-14.6	-15.225	0.997812	0.18	0.017666	0.0	2.276	5.46	8.132	10.051	10.169	0.142	2.21	5.471	8.304	9.722	10.347	-0.142	0.066	-0.011	-0.172	0.329	-0.178	5
SPAC4A8.13c_13	pts1	SPAC4A8.13c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.529	1.077	1.257	2.194	8.975	19.614	17.42	6.905	6.081	123.378	-6.238	-6.862	0.994564	0.361	0.026183	0.0	3.392	5.688	9.432	12.406	13.775	0.554	2.836	5.985	9.546	12.173	13.864	-0.554	0.556	-0.297	-0.114	0.233	-0.089	7
SPCC1919.09_28	tif6	SPCC1919.09	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.363	1.089	0.433	1.126	6.141	14.011	12.884	4.61	4.548	122.08	3.655	3.03	0.963354	0.822	0.065035	0.0	4.104	6.726	8.839	12.647	11.297	0.606	3.568	6.855	9.565	11.004	11.701	-0.606	0.536	-0.129	-0.726	1.643	-0.404	8
SPAC23G3.01_130	rpb2	SPAC23G3.01	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.561	1.328	1.548	2.08	5.924	11.957	9.877	4.75	4.253	117.833	-6.508	-7.133	0.992971	0.353	0.031702	0.0	3.145	6.323	10.279	10.754	11.123	0.141	2.888	6.841	9.683	10.853	11.289	-0.141	0.257	-0.518	0.596	-0.099	-0.166	5
