ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPCC1442.09_94	trp3	SPCC1442.09	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.04	1.039	2.02	9.123	20.267	18.247	6.954	6.152	123.406	-1.456	-2.081	0.987731	0.537	0.039187	0.0	3.411	6.238	8.642	12.67	13.709	0.655	2.957	6.008	9.468	12.077	13.804	-0.655	0.454	0.23	-0.826	0.593	-0.095	7
SPCC1739.11c_57	cdc11	SPCC1739.11c	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	8.873	1.35	3.221	3.622	6.525	11.081	7.458	5.639	3.264	86.185	-22.2	-22.824	0.99928	0.095	0.010777	0.0	0.872	4.917	7.5	8.574	8.85	0.0	0.957	4.799	7.668	8.549	8.783	0.0	-0.085	0.118	-0.168	0.025	0.067	4
SPAC24B11.13_24	hem3	SPAC24B11.13	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.191	4.191	5.048	11.251	20.983	15.935	9.357	6.152	92.863	-4.271	-4.896	0.992759	0.425	0.03062	0.0	0.792	3.692	6.897	10.282	13.876	0.037	0.843	3.259	7.26	10.766	13.151	-0.037	-0.051	0.433	-0.363	-0.484	0.725	7
SPAC18B11.11_169	SPAC18B11.11	SPAC18B11.11	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	2.074	0.118	2.086	3.163	10.952	23.175	20.013	8.574	0.763	12.64	-26.505	-27.129	0.986235	0.067	0.040967	0.0	0.173	0.63	0.962	1.213	1.626	0.049	0.249	0.559	0.963	1.308	1.56	-0.049	-0.076	0.071	-0.001	-0.095	0.066	2
SPBC2G2.03c_5	sbh1	SPBC2G2.03c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.415	0.034	0.0	0.742	6.109	14.531	13.789	4.471	0.153	4.096	-36.544	-37.168	0.954829	0.029	0.070896	0.0	0.152	0.253	0.264	0.369	0.407	0.027	0.127	0.23	0.316	0.364	0.389	-0.027	0.025	0.023	-0.052	0.005	0.018	1
SPCC1393.04_33	fta4	SPCC1393.04	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.233	6.165	6.992	12.981	22.377	15.385	11.152	6.152	70.231	-3.245	-3.87	0.989682	0.463	0.036669	0.0	0.316	2.232	4.707	8.496	12.621	0.001	0.195	1.539	5.096	9.06	12.055	-0.001	0.121	0.693	-0.389	-0.564	0.566	6
SPBP16F5.02_38	mcs2	SPBP16F5.02	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.445	0.794	5.307	6.187	12.554	22.545	16.358	10.61	4.21	52.675	-14.496	-15.121	0.996619	0.181	0.021292	0.0	0.409	1.735	3.676	6.369	8.511	0.007	0.289	1.481	3.958	6.474	8.346	-0.007	0.12	0.254	-0.282	-0.105	0.165	3
SPBC1604.11_14	atp17	SPBC1604.11	2	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.769	0.094	0.828	1.982	10.327	23.421	21.44	7.779	0.651	11.748	-27.079	-27.704	0.981942	0.064	0.045187	0.0	0.283	0.634	0.804	1.105	1.405	0.083	0.293	0.561	0.881	1.147	1.342	-0.083	-0.01	0.073	-0.077	-0.042	0.063	2
SPBP8B7.19_87	spt16	SPBP8B7.19	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.576	0.67	2.451	3.506	11.134	23.104	19.598	8.805	4.259	68.65	-16.905	-17.53	0.997727	0.148	0.016992	0.0	1.226	3.161	5.049	7.245	8.726	0.212	1.242	2.949	5.247	7.231	8.683	-0.212	-0.016	0.212	-0.198	0.014	0.043	4
SPCC4B3.18_21	ppc1	SPCC4B3.18	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	7.222	1.136	3.229	3.617	6.426	10.834	7.217	5.569	2.657	70.949	-28.632	-29.257	0.999628	0.056	0.007849	0.0	0.827	3.949	6.422	6.991	7.109	0.0	0.785	4.016	6.324	6.992	7.161	0.0	0.042	-0.067	0.098	-0.001	-0.052	4
SPBC11G11.06c_6	sme1	SPBC11G11.06c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	10.444	1.312	1.322	1.808	5.325	10.842	9.034	4.251	3.842	112.947	-3.203	-3.828	0.985363	0.464	0.044937	0.0	3.348	6.356	10.027	9.52	10.335	0.146	3.127	6.886	9.197	10.023	10.297	-0.146	0.221	-0.53	0.83	-0.503	0.038	5
SPAC1783.04c_54	hst4	SPAC1783.04c	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	6.741	0.385	2.192	3.263	11.005	23.155	19.892	8.642	2.48	40.764	-15.121	-15.746	0.99084	0.172	0.032712	0.0	0.97	1.872	2.851	4.132	5.259	0.148	0.785	1.788	3.108	4.239	5.066	-0.148	0.185	0.084	-0.257	-0.107	0.193	3
SPBC16D10.04c_54	dna2	SPBC16D10.04c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	0.974	1.888	2.936	10.515	22.41	19.474	8.201	6.152	106.664	-6.769	-7.394	0.994334	0.345	0.026656	0.0	2.284	5.196	7.589	11.152	12.944	0.428	2.177	4.813	8.155	10.926	12.903	-0.428	0.107	0.383	-0.566	0.226	0.041	7
SPBC1861.04c_132	prp24	SPBC1861.04c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	10.294	1.004	1.464	2.089	6.617	13.721	11.631	5.235	3.787	97.532	-15.403	-16.028	0.997827	0.168	0.017302	0.0	2.485	5.09	8.067	9.318	9.711	0.187	2.295	5.334	7.925	9.231	9.816	-0.187	0.19	-0.244	0.142	0.087	-0.105	5
SPBC947.08c_24	hip4	SPBC947.08c	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	4.068	0.277	5.025	5.923	12.414	22.6	16.677	10.432	1.496	19.26	-19.332	-19.956	0.988009	0.121	0.038629	0.0	0.219	0.692	1.337	2.168	3.135	0.004	0.126	0.578	1.458	2.33	2.976	-0.004	0.093	0.114	-0.121	-0.162	0.159	2
SPBC543.04_52	npr3	SPBC543.04	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	8.213	0.745	8.701	9.374	14.242	21.881	12.507	12.756	3.022	24.797	-22.493	-23.118	0.998086	0.093	0.016294	0.0	0.027	0.279	1.34	3.515	5.712	0.0	0.001	0.109	1.31	3.642	5.64	0.0	0.026	0.17	0.03	-0.127	0.072	3
SPAC30D11.05_8	aps3	SPAC30D11.05	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.914	0.046	0.0	1.204	9.915	23.584	22.379	7.256	0.336	6.385	-27.576	-28.2	0.934411	0.061	0.079284	0.0	0.239	0.356	0.418	0.53	0.769	0.06	0.179	0.316	0.473	0.602	0.697	-0.06	0.06	0.04	-0.055	-0.072	0.072	1
SPAC8F11.07c_66	cdc24	SPAC8F11.07c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.691	1.061	2.007	2.853	8.969	18.566	15.713	7.102	5.404	108.783	-17.866	-18.491	0.99911	0.137	0.010771	0.0	2.103	5.248	8.495	11.044	12.706	0.261	2.093	5.102	8.607	11.108	12.628	-0.261	0.01	0.146	-0.112	-0.064	0.078	7
SPAC23C11.12_3	hcn1	SPAC23C11.12	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.899	1.044	0.998	1.695	6.731	14.633	12.939	5.193	4.378	111.158	-10.252	-10.877	0.995882	0.258	0.022558	0.0	3.033	6.017	8.906	10.019	11.442	0.378	2.857	6.033	8.845	10.397	11.161	-0.378	0.176	-0.016	0.061	-0.378	0.281	5
SPAC31A2.11c_90	cuf1	SPAC31A2.11c	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	2.586	0.167	4.219	5.165	12.013	22.758	17.592	9.923	0.951	13.222	-18.413	-19.038	0.965275	0.131	0.063605	0.0	0.282	0.544	0.8	1.449	2.056	0.009	0.132	0.461	1.013	1.529	1.909	-0.009	0.15	0.083	-0.213	-0.08	0.147	2
SPAC56E4.04c_451	cut6	SPAC56E4.04c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.849	1.207	2.015	2.766	8.199	16.724	13.958	6.54	5.463	119.127	-0.547	-1.171	0.986229	0.58	0.044021	0.0	2.66	5.508	9.215	13.165	12.802	0.213	2.284	5.795	9.597	12.031	13.364	-0.213	0.376	-0.287	-0.382	1.134	-0.562	7
SPBC83.07_61	jmj3	SPBC83.07	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.127	0.881	5.952	6.792	12.875	22.419	15.626	11.018	4.461	52.14	-21.295	-21.92	0.999037	0.103	0.011553	0.0	0.215	1.289	3.843	6.447	8.902	0.002	0.175	1.226	3.824	6.646	8.768	-0.002	0.04	0.063	0.019	-0.199	0.134	3
SPAC1B1.04c_87	pan3	SPAC1B1.04c	2	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.788	0.093	0.406	1.583	10.098	23.458	21.875	7.498	0.658	12.215	-24.587	-25.212	0.973141	0.078	0.054058	0.0	0.309	0.657	0.919	1.047	1.446	0.101	0.324	0.595	0.911	1.171	1.362	-0.101	-0.015	0.062	0.008	-0.124	0.084	2
SPAC31G5.12c_52	maf1	SPAC31G5.12c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.661	0.051	0.0	0.796	6.551	15.583	14.787	4.794	0.243	6.25	-5.819	-6.444	0.24619	0.373	0.286769	0.0	0.235	0.252	0.197	1.302	0.163	0.044	0.188	0.343	0.481	0.563	0.608	-0.044	0.047	-0.091	-0.284	0.739	-0.445	1
SPCC306.06c_46	big1	SPCC306.06c	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	3.158	0.192	2.825	3.829	11.096	22.498	18.669	8.877	1.162	18.59	-26.371	-26.996	0.994148	0.067	0.027577	0.0	0.207	0.881	1.391	1.95	2.443	0.041	0.301	0.774	1.431	1.996	2.403	-0.041	-0.094	0.107	-0.04	-0.046	0.04	2
SPAC144.10c_21	gwt1	SPAC144.10c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.237	1.214	2.77	3.386	7.839	14.827	11.441	6.48	4.502	101.947	-4.571	-5.196	0.991082	0.414	0.036458	0.0	1.548	4.949	8.125	11.366	11.046	0.039	1.478	4.909	8.556	10.565	11.487	-0.039	0.07	0.04	-0.431	0.801	-0.441	5
SPBC32F12.16_9	gem7	SPBC32F12.16	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.197	5.75	6.603	12.774	22.458	15.855	10.89	6.152	73.485	-3.36	-3.985	0.990032	0.458	0.035776	0.0	0.5	2.337	5.141	8.625	12.813	0.004	0.292	1.836	5.438	9.261	12.125	-0.004	0.208	0.501	-0.297	-0.636	0.688	6
SPBC646.10c_43	nop56	SPBC646.10c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	8.568	1.157	1.223	1.675	4.945	10.077	8.402	3.947	3.152	96.145	-5.39	-6.014	0.985029	0.387	0.044704	0.0	3.0	5.708	8.411	7.759	8.659	0.121	2.87	6.045	7.773	8.323	8.49	-0.121	0.13	-0.337	0.638	-0.564	0.169	5
SPBC1709.03_46	SPBC1709.03	SPBC1709.03	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	3.692	0.217	2.736	3.773	11.276	23.048	19.275	8.985	1.358	21.415	-35.888	-36.513	0.999069	0.03	0.010962	0.0	0.344	0.929	1.611	2.279	2.781	0.055	0.36	0.897	1.64	2.288	2.763	-0.055	-0.016	0.032	-0.029	-0.009	0.018	2
SPCC320.11c_31	nip7	SPCC320.11c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	9.479	0.837	0.968	1.659	6.657	14.501	12.843	5.131	3.487	89.198	-4.479	-5.104	0.983214	0.418	0.046068	0.0	2.574	4.778	6.676	9.064	8.537	0.307	2.316	4.864	7.096	8.315	8.911	-0.307	0.258	-0.086	-0.42	0.749	-0.374	5
SPCC1020.01c_227	pma2	SPCC1020.01c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.454	0.076	-0.0	0.364	3.001	7.138	6.773	2.196	0.167	6.005	-33.616	-34.241	0.947691	0.037	0.075447	0.0	0.33	0.39	0.45	0.4	0.488	0.03	0.275	0.402	0.443	0.452	0.454	-0.03	0.055	-0.012	0.007	-0.052	0.034	1
SPAC19G12.07c_81	rsd1	SPAC19G12.07c	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	7.059	0.568	3.428	4.186	9.676	18.289	14.103	8.0	2.597	47.549	-19.415	-20.04	0.997235	0.12	0.020146	0.0	0.618	1.906	3.727	5.487	5.97	0.022	0.546	1.932	3.852	5.26	6.085	-0.022	0.072	-0.026	-0.125	0.227	-0.115	3
SPBC1734.04_78	anp1	SPBC1734.04	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.883	0.924	3.608	4.591	11.709	22.877	18.286	9.536	5.475	80.351	8.823	8.198	0.922313	1.265	0.091977	0.0	1.68	3.59	5.243	8.141	13.756	0.101	1.026	3.059	6.171	8.988	11.053	-0.101	0.654	0.531	-0.928	-0.847	2.703	6
SPAC22H10.12c_39	gdi1	SPAC22H10.12c	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.843	1.029	3.621	4.443	10.384	19.708	15.266	8.57	5.093	85.858	-11.884	-12.509	0.997244	0.225	0.019811	0.0	0.726	3.658	6.511	9.825	11.372	0.049	0.955	3.328	6.832	9.635	11.418	-0.049	-0.229	0.33	-0.321	0.19	-0.046	6
SPBC19C7.02_141	ubr1	SPBC19C7.02	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	2.511	0.214	-0.0	0.716	5.895	14.022	13.306	4.314	0.924	25.301	-14.436	-15.061	0.949781	0.182	0.072779	0.0	1.126	1.382	1.755	2.2	2.503	0.166	0.793	1.434	1.955	2.235	2.373	-0.166	0.333	-0.052	-0.2	-0.035	0.13	2
SPCC1223.02_13	nmt1	SPCC1223.02	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.01	0.002	0.0	0.364	3.001	7.138	6.773	2.196	-0.004	-0.0	-21.773	-22.398	-2.144446	0.099	0.554277	0.0	0.178	0.112	0.051	0.056	0.093	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.178	0.112	0.051	0.056	0.093	1
SPAC18G6.13_17	SPAC18G6.13	SPAC18G6.13	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.146	0.065	1.961	3.046	10.89	23.2	20.154	8.495	0.421	7.046	-28.182	-28.807	0.96703	0.058	0.060173	0.0	0.154	0.309	0.473	0.653	0.963	0.029	0.143	0.314	0.536	0.725	0.863	-0.029	0.011	-0.005	-0.063	-0.072	0.1	1
SPAC6G10.04c_34	pre5	SPAC6G10.04c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.679	1.306	0.801	1.44	6.066	13.326	11.885	4.654	5.032	136.501	-6.18	-6.804	0.994089	0.362	0.028081	0.0	4.134	7.642	10.471	12.906	12.906	0.482	3.804	7.731	10.852	12.399	13.095	-0.482	0.33	-0.089	-0.381	0.507	-0.189	8
SPBC1289.06c_48	ppr8	SPBC1289.06c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.235	0.066	0.0	1.142	9.404	22.369	21.227	6.882	0.454	9.008	-28.176	-28.8	0.966222	0.058	0.059951	0.0	0.322	0.518	0.632	0.798	0.967	0.082	0.253	0.45	0.672	0.847	0.972	-0.082	0.069	0.068	-0.04	-0.049	-0.005	1
SPAC6F6.09_11	eaf6	SPAC6F6.09	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.007	0.001	0.0	0.364	3.001	7.138	6.773	2.196	-0.003	-0.0	-19.278	-19.902	-0.800568	0.122	0.463092	0.0	0.043	0.061	-0.006	0.131	0.257	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.043	0.061	-0.006	0.131	0.257	1
SPBC4C3.07_38	tif306	SPBC4C3.07	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	6.59	0.567	0.655	1.364	6.492	14.539	13.175	4.926	2.424	62.941	-16.433	-17.057	0.995092	0.154	0.024459	0.0	1.924	3.411	4.936	5.659	6.305	0.277	1.74	3.466	4.957	5.778	6.186	-0.277	0.184	-0.055	-0.021	-0.119	0.119	4
SPAC24C9.13c_14	mrp10	SPAC24C9.13c	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	8.73	0.717	5.804	6.548	11.928	20.371	13.823	10.286	3.212	42.392	-19.042	-19.667	0.997791	0.124	0.017868	0.0	0.228	0.85	3.387	5.257	6.944	0.0	0.113	0.998	3.216	5.413	6.883	0.0	0.115	-0.148	0.171	-0.156	0.061	3
SPAC29A4.16_63	hal4	SPAC29A4.16	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	3.187	0.178	-0.0	1.095	9.019	21.452	20.357	6.6	1.172	24.029	-16.23	-16.855	0.966644	0.157	0.058956	0.0	0.924	1.286	1.66	2.164	2.66	0.21	0.676	1.211	1.799	2.253	2.568	-0.21	0.248	0.075	-0.139	-0.089	0.092	2
SPBC23E6.07c_114	rfc1	SPBC23E6.07c	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.297	0.887	2.533	3.38	9.506	19.118	15.737	7.636	4.524	85.54	-21.271	-21.896	0.999266	0.103	0.009981	0.0	1.507	3.773	6.695	9.157	10.324	0.141	1.416	3.801	6.789	9.01	10.391	-0.141	0.091	-0.028	-0.094	0.147	-0.067	6
SPAC4H3.11c_99	ppc89	SPAC4H3.11c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	9.381	1.05	1.188	1.734	5.679	11.87	10.136	4.475	3.451	97.719	-13.962	-14.587	0.996829	0.189	0.020912	0.0	2.811	5.534	7.982	9.061	8.951	0.189	2.649	5.745	7.912	8.814	9.158	-0.189	0.162	-0.211	0.07	0.247	-0.207	5
SPBC1105.17_20	cnp1	SPBC1105.17	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.138	1.162	5.837	6.685	12.818	22.441	15.756	10.945	5.937	70.257	-6.321	-6.946	0.993414	0.358	0.029538	0.0	0.223	2.187	5.002	8.334	12.126	0.003	0.26	1.711	5.18	8.898	11.687	-0.003	-0.037	0.476	-0.178	-0.564	0.439	6
SPCC5E4.07_52	rpl2802	SPCC5E4.07	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	5.356	0.718	0.335	0.79	4.084	9.251	8.461	3.078	1.97	64.523	-15.204	-15.829	0.991979	0.171	0.031303	0.0	2.624	3.935	5.0	5.166	5.458	0.248	2.415	4.146	4.983	5.241	5.319	-0.248	0.209	-0.211	0.017	-0.075	0.139	4
SPAC1B3.12c_11	rpb10	SPAC1B3.12c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.053	1.239	0.592	1.137	5.077	11.259	10.122	3.874	4.066	121.461	-10.436	-11.06	0.995747	0.254	0.023347	0.0	4.195	7.058	9.642	10.494	10.888	0.426	3.855	7.35	9.595	10.496	10.835	-0.426	0.34	-0.292	0.047	-0.002	0.053	5
SPCC1235.07_22	fta7	SPCC1235.07	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.156	0.942	4.57	5.423	11.588	21.263	15.84	9.706	4.84	69.494	-16.556	-17.18	0.998429	0.153	0.015014	0.0	0.328	2.497	5.198	8.341	10.167	0.018	0.526	2.274	5.391	8.23	10.194	-0.018	-0.198	0.223	-0.193	0.111	-0.027	6
SPAC4G8.09_107	SPAC4G8.09	SPAC4G8.09	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.654	0.956	7.534	8.279	13.662	22.109	13.83	12.018	4.287	41.48	-10.827	-11.451	0.993734	0.246	0.029076	0.0	0.219	0.522	2.893	5.304	8.462	0.0	0.02	0.479	2.681	5.766	8.211	0.0	0.199	0.043	0.212	-0.462	0.251	3
SPBC30D10.10c_366	tor1	SPBC30D10.10c	2	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	3.558	0.231	4.315	5.256	12.061	22.739	17.483	9.983	1.309	18.035	-27.292	-27.917	0.995969	0.062	0.023295	0.0	0.094	0.712	1.327	2.043	2.678	0.011	0.172	0.619	1.38	2.097	2.624	-0.011	-0.078	0.093	-0.053	-0.054	0.054	2
SPCC4G3.16_15	rib2	SPCC4G3.16	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	9.654	1.21	0.836	1.323	4.847	10.376	9.053	3.771	3.551	108.85	-10.965	-11.589	0.995112	0.243	0.025083	0.0	3.656	6.567	8.633	9.697	9.28	0.26	3.469	6.773	8.662	9.32	9.537	-0.26	0.187	-0.206	-0.029	0.377	-0.257	5
SPBC685.07c_31	rpl2701	SPBC685.07c	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	6.652	0.591	-0.0	0.688	5.661	13.466	12.778	4.143	2.447	68.565	-8.697	-9.322	0.982326	0.294	0.045052	0.0	2.619	3.872	4.983	6.014	6.522	0.439	2.188	3.937	5.303	6.006	6.34	-0.439	0.431	-0.065	-0.32	0.008	0.182	4
SPAC29A4.04c_67	cbf5	SPAC29A4.04c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.005	1.676	2.692	10.037	21.564	18.872	7.795	6.152	112.064	-2.661	-3.285	0.989515	0.486	0.034758	0.0	2.765	5.428	8.021	11.006	13.98	0.469	2.375	5.172	8.601	11.35	13.255	-0.469	0.39	0.256	-0.58	-0.344	0.725	7
SPAC1002.16c_81	tna1	SPAC1002.16c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.012	0.002	-0.0	0.364	3.001	7.137	6.773	2.196	-0.005	-0.001	-22.173	-22.798	-2.663733	0.096	0.687549	0.0	0.139	0.084	0.039	0.09	0.137	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.139	0.084	0.039	0.09	0.137	1
SPBC17G9.13c_55	cup1	SPBC17G9.13c	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	7.85	0.933	8.923	9.437	13.152	18.982	9.545	12.018	2.888	27.951	-9.235	-9.86	0.985631	0.281	0.044749	0.0	0.41	0.571	1.257	4.381	6.278	0.0	0.0	0.037	1.369	4.305	6.309	0.0	0.41	0.534	-0.112	0.076	-0.031	3
SPAC23C4.14_86	alg1	SPAC23C4.14	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.122	2.637	3.547	10.132	20.465	16.918	8.122	6.152	108.844	-14.276	-14.901	0.998615	0.185	0.013479	0.0	1.803	4.914	8.216	11.636	13.693	0.206	1.784	4.702	8.53	11.566	13.577	-0.206	0.019	0.212	-0.314	0.07	0.116	7
SPBC1604.20c_86	tea2	SPBC1604.20c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.134	0.063	0.0	1.09	8.976	21.349	20.259	6.568	0.417	8.58	-30.152	-30.777	0.974191	0.049	0.053153	0.0	0.257	0.494	0.629	0.737	0.925	0.075	0.241	0.433	0.643	0.804	0.916	-0.075	0.016	0.061	-0.014	-0.067	0.009	1
SPBC1105.03c_45	mrpl16	SPBC1105.03c	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.794	0.906	6.706	7.5	13.25	22.271	14.771	11.494	4.339	46.54	-21.526	-22.151	0.999003	0.101	0.011827	0.0	0.203	0.814	3.331	6.016	8.53	0.0	0.073	0.828	3.261	6.187	8.431	0.0	0.13	-0.014	0.07	-0.171	0.099	3
SPAC1D4.11c_68	lkh1	SPAC1D4.11c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.51	0.084	0.0	0.37	3.043	7.237	6.868	2.227	0.187	6.713	-23.862	-24.487	0.825695	0.083	0.124893	0.0	0.315	0.451	0.426	0.402	0.665	0.034	0.304	0.449	0.496	0.507	0.509	-0.034	0.011	0.002	-0.07	-0.105	0.156	1
SPAC1006.05c_72	och1	SPAC1006.05c	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	10.733	0.97	8.657	9.332	14.22	21.889	12.557	12.728	3.949	32.622	-15.35	-15.975	0.996438	0.169	0.022203	0.0	-0.074	0.091	1.954	4.476	7.528	0.0	0.001	0.15	1.741	4.783	7.378	0.0	-0.075	-0.059	0.213	-0.307	0.15	3
SPBC11B10.02c_34	his3	SPBC11B10.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.11	0.018	-0.0	0.364	3.001	7.138	6.773	2.196	0.04	1.448	-34.63	-35.254	0.453885	0.034	0.239449	0.0	0.111	0.141	0.059	0.087	0.113	0.007	0.066	0.097	0.107	0.109	0.109	-0.007	0.045	0.044	-0.048	-0.022	0.004	1
SPCC553.08c_144	ria1	SPCC553.08c	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.693	0.72	2.086	3.163	10.952	23.175	20.012	8.574	4.67	77.359	-10.485	-11.109	0.994443	0.253	0.025784	0.0	1.55	3.599	5.945	7.571	9.819	0.299	1.526	3.42	5.892	8.002	9.547	-0.299	0.024	0.179	0.053	-0.431	0.272	4
SPBC16D10.09_5	pcn1	SPBC16D10.09	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.2	1.053	1.709	2.358	7.056	14.429	12.071	5.622	4.12	101.432	-11.6	-12.225	0.996493	0.231	0.021867	0.0	2.409	5.018	8.602	9.704	10.549	0.167	2.188	5.359	8.27	9.83	10.562	-0.167	0.221	-0.341	0.332	-0.126	-0.013	5
SPAC16E8.11c_88	tfb1	SPAC16E8.11c	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.227	0.947	2.914	3.638	8.875	17.091	13.453	7.276	4.13	83.213	-3.888	-4.513	0.986387	0.439	0.045149	0.0	1.418	3.556	6.415	9.716	9.553	0.056	1.161	3.695	6.804	8.876	10.011	-0.056	0.257	-0.139	-0.389	0.84	-0.458	6
SPAC17A5.16_93	ftp105	SPAC17A5.16	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.075	-0.01	0.0	0.456	3.759	8.94	8.484	2.751	0.028	0.004	-21.942	-22.567	-0.96411	0.097	0.543275	0.0	0.013	-0.039	-0.063	-0.166	-0.153	0.005	0.0	0.0	0.0	0.0	0.0	-0.005	0.013	-0.039	-0.063	-0.166	-0.153	1
SPBC839.08c_179	its8	SPBC839.08c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.733	1.388	2.359	2.963	7.332	14.187	11.224	5.998	5.052	120.983	4.505	3.881	0.970368	0.883	0.062601	0.0	2.443	5.779	9.971	14.103	12.334	0.076	2.098	6.179	10.1	12.131	13.031	-0.076	0.345	-0.4	-0.129	1.972	-0.697	7
SPAC2C4.13_41	vma16	SPAC2C4.13	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	6.862	0.504	3.452	4.284	10.303	19.748	15.464	8.466	2.525	43.102	-32.821	-33.446	0.999651	0.039	0.006994	0.0	0.548	1.69	3.39	4.858	5.628	0.031	0.517	1.71	3.426	4.79	5.66	-0.031	0.031	-0.02	-0.036	0.068	-0.032	3
