systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPAC2C4.16c,rps801,small colonies,V,12th_round_149,,48.0,40.0,0.83,20.0,0.0,1.0,0.048,0.211,0.269,0.267,0.048,0.212,0.28,0.306
SPAC2G11.06,vps4,small colonies,V,4th_round_72,4th_round_72_#3: 转印后很难长;4th_round_72_#4: 转印后很难长,96.0,88.0,0.92,44.0,0.0,1.0,0.012,0.104,0.187,0.224,0.028,0.11,0.185,0.237
SPAC2G11.12,rqh1,small colonies,V,17th_round_244,,48.0,48.0,1.0,19.0,5.0,0.79,0.49,0.566,0.56,0.58,0.4,0.453,0.468,0.482
SPAC30C2.02,mmd1,small colonies,V,22th_round_396,,52.0,40.0,0.77,20.0,0.0,1.0,0.718,,,0.402,0.97,,,0.427
SPAC30C2.03,SPAC30C2.03,E,E,19th_round_317,19th_round_317_#1: 克隆部分轻微可见;19th_round_317_#2: 克隆部分轻微可见,,,,,,,,,,,,,,
SPAC30C2.04,asc1,small colonies,V,17th_round_245,,96.0,84.0,0.88,42.0,0.0,1.0,0.453,0.532,0.585,0.628,0.468,0.541,0.584,0.654
SPAC30C2.06c,dml1,E,E,1st_round_3,,,,,,,,,,,,,,,
SPAC30D11.13,hus5,very small colonies,V,22th_round_390,22th_round_390_#LV437: 克隆可见但很小,52.0,48.0,0.92,17.0,7.0,0.71,0.0,,,0.012,0.0,,,0.012
SPAC31A2.05c,mis4,E,E,22th_round_411,,,,,,,,,,,,,,,
SPAC31A2.13c,sft1,E,E,1st_round_4,,,,,,,,,,,,,,,
SPAC31G5.03,rps1101,small colonies,V,12th_round_150,12th_round_150_#1: 孢子存活率低,96.0,72.0,0.75,32.0,4.0,0.89,0.014,0.131,0.2,0.238,0.012,0.118,0.18,0.221
SPAC31G5.19,abo1,"E,small colonies",E,22th_round_397,22th_round_397_#LV465: 克隆部分可见但很小，且大部分一个可见一个可见,,,,,,,,,,,,,,
SPAC323.01c,pos5,small colonies,V,12th_round_151,12th_round_151_#1: 大部分两个都长，也有一部分只长一个;12th_round_151_#2: 大部分两个都长，也有一部分只长一个,96.0,92.0,0.96,37.0,9.0,0.8,0.0,0.051,0.082,0.092,0.009,0.055,0.086,0.105
SPAC323.05c,mtq2,small colonies,V,4th_round_73,,96.0,96.0,1.0,48.0,0.0,1.0,0.112,0.202,0.238,0.26,0.11,0.198,0.236,0.259
SPAC328.01c,msn5,WT,V,17th_round_246,,96.0,92.0,0.96,46.0,0.0,1.0,0.903,0.921,0.933,0.936,0.902,0.93,0.97,0.964
SPAC328.02,dbl4,small colonies,V,22th_round_366,,,,,,,,,,,,,,,
SPAC328.10c,rps502,small colonies,V,17th_round_247,,48.0,44.0,0.92,22.0,0.0,1.0,0.4,0.491,0.501,0.51,0.385,0.481,0.51,0.518
SPAC343.17c,wdr70,small colonies,V,20th_round_334,,96.0,92.0,0.96,45.0,1.0,0.98,0.0,0.042,0.087,0.115,0.001,0.036,0.082,0.111
SPAC3A12.10,rpl2001,small colonies,V,17th_round_248,17th_round_248_#1: 克隆可见但转印后难长;17th_round_248_#2: 克隆可见但转印后难长,96.0,68.0,0.71,34.0,0.0,1.0,0.0,0.057,0.124,0.15,0.0,0.057,0.131,0.165
SPAC3C7.08c,elf1,small colonies,V,12th_round_152,12th_round_152_#1: 克隆可见但转印后长的不错;12th_round_152_#2: 克隆可见但转印后长的不错,48.0,44.0,0.92,21.0,1.0,0.95,0.0,0.009,0.037,0.066,0.0,0.009,0.035,0.067
SPAC3C7.11c,cnx1,"E,small colonies",E,19th_round_318,19th_round_318_#1: 极少数deletion长且形状不规则;19th_round_318_#2: 极少数deletion长且形状不规则,96.0,88.0,0.92,8.0,36.0,0.18,0.0,0.0,0.0,0.0,0.002,0.005,0.008,0.01
SPAC3F10.16c,SPAC3F10.16c,very small colonies,V,12th_round_153,12th_round_153_#1: 克隆轻微可见;12th_round_153_#2: 克隆轻微可见,96.0,96.0,1.0,35.0,13.0,0.73,0.0,0.0,0.0,0.007,0.007,0.004,0.003,0.009
SPAC3F10.17,ltv1,small colonies,V,4th_round_74,,96.0,88.0,0.92,44.0,0.0,1.0,0.0,0.0,0.026,0.057,0.0,0.0,0.191,0.056
SPAC3H5.07,rpl702,small colonies,V,4th_round_75,,48.0,44.0,0.92,22.0,0.0,1.0,0.376,0.457,0.504,0.505,0.376,0.457,0.483,0.481
SPAC4A8.03c,ptc4,small colonies,V,"17th_round_249,23th_round_249",,96.0,88.0,0.92,42.0,2.0,0.95,0.595,0.614,0.585,0.567,0.586,0.565,0.543,0.531
SPAC4A8.04,isp6,WT,V,22th_round_465,,96.0,88.0,0.92,44.0,0.0,1.0,0.976,,,1.156,0.98,,,1.101
SPAC4A8.08c,vrs2,E,E,16th_round_203,16th_round_203_#1: 克隆部分轻微可见;16th_round_203_#2: 克隆部分轻微可见,,,,,,,,,,,,,,
SPAC4A8.11c,fas2,E,E,16th_round_189,,,,,,,,,,,,,,,
SPAC4C5.03,SPAC4C5.03,WT,V,17th_round_250,,96.0,88.0,0.92,42.0,2.0,0.95,0.873,0.855,0.843,0.829,0.832,0.826,0.814,0.79
SPAC4C5.04,rad31,small colonies,V,22th_round_355,,52.0,52.0,1.0,24.0,2.0,0.92,0.0,,,0.088,0.0,,,0.093
SPAC4F10.05c,lip2,E,E,22th_round_357,22th_round_357_#1: 克隆轻微可见,,,,,,,,,,,,,,
SPAC4F10.06,bud22,small colonies,V,4th_round_76,,96.0,88.0,0.92,39.0,5.0,0.89,0.0,0.0,0.007,0.032,0.002,0.0,0.006,0.031
SPAC4F8.03,sdo1,very small colonies,V,12th_round_154,12th_round_154_#1: 克隆轻微可见;12th_round_154_#2: 克隆轻微可见,96.0,84.0,0.88,22.0,20.0,0.52,0.0,0.0,0.0,0.003,0.007,0.0,0.0,0.004
SPAC4G8.10,gos1,E,E,12th_round_155,,,,,,,,,,,,,,,
SPAC4G9.15,ifa38,E,E,12th_round_156,,,,,,,,,,,,,,,
SPAC57A7.04c,pabp,E,E,22th_round_459,,,,,,,,,,,,,,,
SPAC57A7.12,ssz1,small colonies,V,22th_round_386,,52.0,48.0,0.92,24.0,0.0,1.0,0.296,,,0.408,0.291,,,0.436
SPAC589.12,cwh43,E,E,4th_round_77,,,,,,,,,,,,,,,
SPAC5D6.06c,alg14,E,E,22th_round_464,22th_round_464_#LV823?: WT 也一大一小,48.0,48.0,1.0,0.0,24.0,0.0,0.0,,,0.0,0.0,,,0.0
SPAC607.02c,SPAC607.02c,small colonies,V,"5th_round_78,17th_round_251",,192.0,184.0,0.96,87.0,5.0,0.95,0.05,0.165,0.21,0.243,0.048,0.155,0.199,0.228
SPAC630.13c,tsc2,small colonies,V,5th_round_79,,96.0,76.0,0.79,33.0,5.0,0.87,0.23,0.323,0.361,0.369,0.203,0.274,0.344,0.36
SPAC637.04,ypp1,E,E,22th_round_422,,,,,,,,,,,,,,,
SPAC637.06,gmh5,small colonies,V,17th_round_252,,96.0,80.0,0.83,39.0,1.0,0.97,0.493,0.539,0.605,0.647,0.488,0.534,0.581,0.611
SPAC644.14c,rad51,"E,small colonies",E,5th_round_80,5th_round_80_#4: 一半两个长一半一个长一个不长;5th_round_80_#5: 大部分两个长少部分一个长一个不长,96.0,84.0,0.88,35.0,7.0,0.83,0.0,0.076,0.115,0.135,0.011,0.069,0.107,0.127
SPAC664.02c,arp8,small colonies,V,17th_round_253,,96.0,88.0,0.92,43.0,1.0,0.98,0.369,0.428,0.506,0.578,0.35,0.418,0.486,0.54
SPAC664.04c,rps1602,small colonies,V,5th_round_81,,48.0,48.0,1.0,24.0,0.0,1.0,0.531,0.615,0.697,0.71,0.553,0.619,0.662,0.678
SPAC664.09,ggt1,E,E,15th_round_175,,,,,,,,,,,,,,,
SPAC664.11,ssc1,E,E,16th_round_190,,,,,,,,,,,,,,,
SPAC694.02,SPAC694.02,small colonies,V,16th_round_219,,48.0,4.0,0.08,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAC6B12.02c,mus7,small colonies,V,5th_round_82,,96.0,84.0,0.88,41.0,1.0,0.98,0.057,0.201,0.257,0.283,0.078,0.191,0.238,0.26
SPAC6B12.15,cpc2,small colonies,V,22th_round_385,,52.0,48.0,0.92,23.0,1.0,0.96,0.387,,,0.562,0.349,,,0.561
SPAC6C3.09,rpp40,small colonies,V,15th_round_176,,96.0,92.0,0.96,46.0,0.0,1.0,0.636,0.745,0.824,0.864,0.659,0.727,0.769,0.793
SPAC6F12.16c,mtr4,E,E,16th_round_187,,,,,,,,,,,,,,,
SPAC6F6.03c,nog2,E,E,22th_round_449,,,,,,,,,,,,,,,
SPAC6F6.17,rif1,WT,V,16th_round_206,,96.0,92.0,0.96,45.0,1.0,0.98,0.933,0.944,0.925,0.919,0.921,0.939,0.947,0.956
SPAC6G10.05c,trs120,E,E,16th_round_194,,,,,,,,,,,,,,,
SPAC6G10.09,gls1,E,E,19th_round_319,,,,,,,,,,,,,,,
SPAC7D4.06c,alg3,small colonies,V,17th_round_254,,96.0,92.0,0.96,46.0,0.0,1.0,0.694,0.707,0.733,0.75,0.684,0.715,0.75,0.779
SPAC7D4.10,vma13,E,E,16th_round_210,,,,,,,,,,,,,,,
SPAC806.03c,rps2601,small colonies,V,22th_round_375,,52.0,48.0,0.92,24.0,0.0,1.0,0.599,,,0.684,0.572,,,0.754
SPAC823.06,taf3,E,E,15th_round_177,,,,,,,,,,,,,,,
SPAC823.08c,rrp3,E,E,22th_round_431,,,,,,,,,,,,,,,
SPAC823.11,sgp1,small colonies,V,20th_round_335,,96.0,88.0,0.92,44.0,0.0,1.0,0.742,0.765,0.798,0.825,0.728,0.745,0.766,0.791
SPAC824.02,bst1,small colonies,V,5th_round_83,,48.0,48.0,1.0,22.0,2.0,0.92,0.232,0.328,0.373,0.388,0.205,0.305,0.361,0.379
SPAC824.05,vps16,small colonies,V,22th_round_358,,52.0,44.0,0.85,21.0,1.0,0.95,0.121,,,0.388,0.124,,,0.387
SPAC890.06,nup155,WT,V,22th_round_463,,,,,,,,,,,,,,,
SPAC8C9.08,rps5,small colonies,V,5th_round_84,,96.0,92.0,0.96,44.0,2.0,0.96,0.113,0.243,0.31,0.354,0.11,0.238,0.305,0.334
SPAC9.13c,cwf16,E,E,1st_round_5,,,,,,,,,,,,,,,
SPAC926.09c,fas1,E,E,"17th_round_256,22th_round_460",22th_round_460_#LV807?: 有几列四个长的是 WT,48.0,32.0,0.67,0.0,16.0,0.0,0.0,,,0.0,0.0,,,0.0
SPAC959.08,rpl2102,small colonies,V,5th_round_85,,96.0,96.0,1.0,48.0,0.0,1.0,0.106,0.242,0.293,0.319,0.098,0.24,0.302,0.322
SPAC977.03,SPAC977.03,WT,V,17th_round_257,,96.0,96.0,1.0,44.0,4.0,0.92,1.005,1.038,1.104,1.081,0.948,0.942,0.952,0.948
SPAC9G1.07,SPAC9G1.07,small colonies,V,17th_round_258,17th_round_258_#1: 克隆可见但转印后难长;17th_round_258_#2: 克隆可见但转印后难长,96.0,96.0,1.0,41.0,7.0,0.85,0.028,0.105,0.159,0.172,0.035,0.096,0.141,0.163
SPAC9G1.08c,phi1,WT,V,5th_round_86,,96.0,80.0,0.83,34.0,6.0,0.85,0.865,0.88,0.811,0.819,0.737,0.741,0.738,0.736
SPAP27G11.09c,rib1,E,E,16th_round_211,,,,,,,,,,,,,,,
SPAP27G11.16,SPAP27G11.16,small colonies,V,17th_round_259,,96.0,80.0,0.83,40.0,0.0,1.0,0.0,0.062,0.159,0.232,0.018,0.082,0.176,0.248
SPAP7G5.02c,gua2,E,E,22th_round_435,,,,,,,,,,,,,,,
SPAP8A3.07c,aro3,small colonies,V,13th_round_157,13th_round_157_#1: 克隆部分可见但转印后难长;13th_round_157_#2: 克隆部分可见但转印后难长,96.0,88.0,0.92,38.0,6.0,0.86,0.0,0.023,0.032,0.05,0.002,0.019,0.027,0.043
SPAP8A3.10,ups1,E,E,19th_round_320,19th_round_320_#1: 克隆部分轻微可见;19th_round_320_#2: 克隆部分轻微可见,,,,,,,,,,,,,,
SPAPB17E12.09,SPAPB17E12.09,very small colonies,V,15th_round_178,15th_round_178_#1: 克隆部分可见但转印后难长;15th_round_178_#2: 克隆部分可见但转印后难长,96.0,88.0,0.92,25.0,19.0,0.57,0.0,0.008,0.007,0.007,0.015,0.02,0.018,0.017
SPAPB18E9.01,trm5,small colonies,V,14th_round_172,14th_round_172_#1: 克隆可见但转印后长的不错;14th_round_172_#2: 克隆可见但转印后长的不错,96.0,88.0,0.92,39.0,5.0,0.89,0.0,0.0,0.023,0.041,0.0,0.002,0.021,0.037
SPAPB1E7.02c,mcl1,small colonies,V,13th_round_158,13th_round_158_#1: 克隆可见但转印后长的不错;13th_round_158_#2: 克隆可见但转印后长的不错,96.0,88.0,0.92,41.0,3.0,0.93,0.0,0.021,0.048,0.071,0.002,0.029,0.053,0.08
SPAPB1E7.09,ogm2,E,E,1st_round_6,,,,,,,,,,,,,,,
SPAPB1E7.12,rps602,small colonies,V,17th_round_260,,96.0,80.0,0.83,37.0,3.0,0.93,0.044,0.187,0.248,0.26,0.042,0.165,0.244,0.283
SPAPB24D3.06c,SPAPB24D3.06c,WT,V,20th_round_336,,96.0,80.0,0.83,38.0,2.0,0.95,0.957,0.932,0.904,0.896,0.895,0.89,0.886,0.877
SPAPB2B4.02,grx5,small colonies,V,"16th_round_207,17th_round_261",16th_round_207_#1: 克隆可见但转印后长的不错;16th_round_207_#2: 克隆可见但转印后长的不错;17th_round_261_#1: 克隆可见但转印后长的不错;17th_round_261_#2: 克隆可见但转印后长的不错,192.0,184.0,0.96,89.0,3.0,0.97,0.0,0.01,0.031,0.047,0.014,0.031,0.053,0.07
SPBC106.10,pka1,"E,small colonies",E,"17th_round_262,23th_round_262",17th_round_262_#1: 大部分两个都不长;17th_round_262_#2: 大部分两个都长;23th_round_262_#1: 并不是所有列一个长一个不长;23th_round_262_#2: 并不是所有列一个长一个不长,144.0,140.0,0.97,34.0,36.0,0.49,0.0,0.0,0.0,0.0,0.116,0.151,0.17,0.183
SPBC106.16,pre6,E,E,1st_round_7,,,,,,,,,,,,,,,
SPBC106.19,ppr10,small colonies,V,17th_round_263,,96.0,92.0,0.96,44.0,2.0,0.96,0.216,0.224,0.252,0.236,0.198,0.213,0.251,0.248
SPBC1198.02,dea2,WT,V,20th_round_337,,96.0,88.0,0.92,43.0,1.0,0.98,0.979,0.991,0.978,0.977,0.959,0.982,0.988,0.993
SPBC11C11.01,SPBC11C11.01,WT,V,16th_round_221,,96.0,80.0,0.83,35.0,5.0,0.88,0.9,0.893,0.936,0.939,0.857,0.851,0.9,0.907
SPBC11C11.02,imp2,small colonies,V,5th_round_87,5th_round_87_#1: 转印后很难长;5th_round_87_#2: 转印后很难长,96.0,60.0,0.62,26.0,4.0,0.87,0.0,0.003,0.047,0.07,0.0,0.017,0.061,0.086
SPBC11C11.07,rpl1801,small colonies,V,6th_round_88,,96.0,80.0,0.83,40.0,0.0,1.0,0.027,0.15,0.194,0.234,0.025,0.147,0.191,0.216
SPBC11G11.05,rpa34,E,E,22th_round_398,,,,,,,,,,,,,,,
SPBC11G11.06c,sme1,E,E,22th_round_407,,,,,,,,,,,,,,,
SPBC1289.08,uap1,E,E,22th_round_444,,,,,,,,,,,,,,,
SPBC1306.02,trm734,small colonies,V,22th_round_354,,52.0,48.0,0.92,17.0,7.0,0.71,0.041,,,0.395,0.04,,,0.34
SPBC13A2.02,nup82,E,E,14th_round_173,,,,,,,,,,,,,,,
SPBC13G1.13,tfb2,E,E,1st_round_8,,,,,,,,,,,,,,,
SPBC146.13c,myo1,E,E,"16th_round_199,22th_round_373",,,,,,,,,,,,,,,
SPBC14C8.07c,cdc18,E,E,16th_round_191,,,,,,,,,,,,,,,
SPBC14C8.16c,bot1,E,E,6th_round_89,,,,,,,,,,,,,,,
SPBC14F5.02,trs65,E,E,19th_round_321,,,,,,,,,,,,,,,
SPBC14F5.06,rli1,E,E,22th_round_439,,,,,,,,,,,,,,,
SPBC1539.06,acb1,small colonies,V,6th_round_90,,96.0,80.0,0.83,40.0,0.0,1.0,0.394,0.408,0.446,0.478,0.365,0.413,0.471,0.513
SPBC1539.09c,trp1,E,E,22th_round_427,,,,,,,,,,,,,,,
SPBC15D4.10c,amo1,small colonies,V,13th_round_159,,96.0,84.0,0.88,42.0,0.0,1.0,0.047,0.24,0.304,0.388,0.051,0.245,0.308,0.375
SPBC1604.08c,imp1,small colonies,V,6th_round_91,,96.0,92.0,0.96,45.0,1.0,0.98,0.265,0.37,0.399,0.406,0.257,0.365,0.396,0.412
SPBC1604.21c,uba1,E,E,16th_round_188,,,,,,,,,,,,,,,
SPBC1652.02,SPBC1652.02,small colonies,V,1st_round_9,,,,,,,,,,,,,,,
SPBC1683.07,mal1,WT,V,17th_round_264,,96.0,88.0,0.92,42.0,2.0,0.95,0.984,0.984,0.978,0.996,0.912,0.989,0.945,0.951
SPBC16C6.03c,rsa1,small colonies,V,17th_round_266,,96.0,88.0,0.92,44.0,0.0,1.0,0.473,0.538,0.594,0.577,0.457,0.541,0.583,0.591
SPBC16D10.03,kae1,small colonies,V,22th_round_370,22th_round_370_#1: 克隆可见但很小,52.0,36.0,0.69,16.0,2.0,0.89,0.0,,,0.022,0.0,,,0.022
SPBC16D10.06,zrt1,small colonies,V,6th_round_92,,96.0,96.0,1.0,47.0,1.0,0.98,0.329,0.542,0.729,0.593,0.302,0.516,0.799,0.618
SPBC16G5.08,trp4,E,E,22th_round_428,,,,,,,,,,,,,,,
SPBC16G5.15c,fkh2,"E,small colonies",E,6th_round_93,6th_round_93_#1: 克隆部分可见;6th_round_93_#2: 克隆部分可见,96.0,88.0,0.92,29.0,15.0,0.66,0.0,0.0,0.0,0.01,0.0,0.002,0.008,0.019
SPBC16H5.03c,uba2,very small colonies,V,6th_round_94,6th_round_94_#1: 克隆轻微可见;6th_round_94_#2: 克隆轻微可见,96.0,96.0,1.0,33.0,15.0,0.69,0.0,0.0,0.0,0.013,0.0,0.0,0.002,0.01
SPBC16H5.08c,SPBC16H5.08c,small colonies,V,6th_round_95,,96.0,92.0,0.96,45.0,1.0,0.98,0.327,0.438,0.443,0.447,0.328,0.425,0.463,0.48
SPBC1703.13c,mir1,"E,small colonies",E,22th_round_400,22th_round_400_#LV477: 也有一些 WT 没存货，可能是孢子存活率导致的,52.0,48.0,0.92,17.0,7.0,0.71,0.012,,,0.188,0.074,,,0.17
SPBC1703.15c,vps33,small colonies,V,22th_round_372,,52.0,44.0,0.85,22.0,0.0,1.0,0.054,,,0.226,0.06,,,0.286
SPBC1709.05,sks2,small colonies,V,6th_round_96,,96.0,84.0,0.88,42.0,0.0,1.0,0.0,0.109,0.164,0.187,0.002,0.106,0.158,0.182
SPBC1711.06,rpl401,small colonies,V,17th_round_267,,96.0,92.0,0.96,44.0,2.0,0.96,0.763,0.791,0.819,0.834,0.738,0.768,0.792,0.799
SPBC1734.04,anp1,"E,small colonies",E,"13th_round_160,19th_round_322",13th_round_160_#1: 大部分两个长少部分一个长一个不长;13th_round_160_#2: 大部分两个长少部分一个长一个不长,192.0,156.0,0.81,50.0,28.0,0.64,0.0,0.0,0.014,0.037,0.001,0.011,0.028,0.048
SPBC1734.16c,pst3,E,E,22th_round_418,,,,,,,,,,,,,,,
SPBC1778.01c,zuo1,small colonies,V,22th_round_380,,52.0,48.0,0.92,22.0,2.0,0.92,0.0,,,0.106,0.001,,,0.138
SPBC1778.05c,lam2,very small colonies,V,1st_round_10,1st_round_10_#1: 克隆部分可见;1st_round_10_#2: 克隆部分可见,96.0,88.0,0.92,29.0,15.0,0.66,0.0,0.0,0.0,0.01,0.0,0.0,0.003,0.012
SPBC17A3.09c,aim22,E,E,22th_round_393,,,,,,,,,,,,,,,
SPBC17G9.02c,cdc73,small colonies,V,6th_round_97,6th_round_97_#1: 转印后很难长;6th_round_97_#2: 转印后很难长,96.0,92.0,0.96,43.0,3.0,0.93,0.0,0.012,0.038,0.05,0.0,0.015,0.037,0.049
SPBC17G9.04c,nup85,E,E,16th_round_200,,,,,,,,,,,,,,,
SPBC17G9.09,tif213,E,E,7th_round_98,,,,,,,,,,,,,,,
SPBC17G9.10,rpl1102,small colonies,V,22th_round_388,,104.0,104.0,1.0,50.0,2.0,0.96,0.0,,,0.045,0.0,,,0.062
SPBC17G9.11c,pyr1,E,E,22th_round_436,,,,,,,,,,,,,,,
SPBC1815.01,eno101,E,E,22th_round_461,,,,,,,,,,,,,,,
SPBC18E5.05c,elp5,"E,small colonies",E,13th_round_161,13th_round_161_#1: 大部分一个长一个不长;13th_round_161_#2: 大部分一个长一个不长,96.0,48.0,0.5,10.0,14.0,0.42,0.0,0.0,0.0,0.0,0.0,0.009,0.024,0.037
SPBC18E5.12c,mas2,E,E,16th_round_195,,,,,,,,,,,,,,,
SPBC18H10.17c,mhr1,E,E,19th_round_323,,,,,,,,,,,,,,,
SPBC18H10.20c,any1,small colonies,V,7th_round_99,7th_round_99_#2: 克隆可见但转印后难长;7th_round_99_#3: 克隆可见但转印后难长,96.0,88.0,0.92,35.0,9.0,0.8,0.0,0.0,0.01,0.051,0.0,0.004,0.021,0.051
SPBC19C2.02,pmt1,E,E,17th_round_268,,,,,,,,,,,,,,,
SPBC19C2.05,pat1,E,E,19th_round_324,19th_round_324_#1: 克隆部分轻微可见;19th_round_324_#2: 克隆部分轻微可见,,,,,,,,,,,,,,
SPBC19C2.07,fba1,E,E,22th_round_437,,,,,,,,,,,,,,,
SPBC19C2.11c,mdm34,E,E,15th_round_179,,,,,,,,,,,,,,,
SPBC19C7.02,ubr1,small colonies,V,17th_round_269,,48.0,48.0,1.0,24.0,0.0,1.0,0.476,0.587,0.653,0.675,0.474,0.577,0.654,0.683
SPBC19F8.05,mrps26,E,E,19th_round_325,19th_round_325_#1: 克隆部分轻微可见;19th_round_325_#2: 克隆部分轻微可见,,,,,,,,,,,,,,
SPBC19F8.07,mcs6,E,E,22th_round_406,22th_round_406_#LV508: 克隆部分轻微可见,,,,,,,,,,,,,,
SPBC19F8.08,rps401,small colonies,V,7th_round_100,,96.0,96.0,1.0,48.0,0.0,1.0,0.406,0.588,0.669,0.721,0.402,0.57,0.63,0.672
SPBC19G7.07c,ppr3,small colonies,V,22th_round_356,,52.0,52.0,1.0,23.0,3.0,0.88,0.351,,,0.205,0.354,,,0.191
SPBC19G7.10c,pdc2,small colonies,V,17th_round_270,,96.0,92.0,0.96,46.0,0.0,1.0,0.0,0.013,0.08,0.111,0.0,0.016,0.081,0.109
SPBC19G7.14c,cog5,E,E,22th_round_412,,,,,,,,,,,,,,,
SPBC1A4.09,pus7,small colonies,V,7th_round_101,,96.0,88.0,0.92,44.0,0.0,1.0,0.469,0.511,0.53,0.555,0.481,0.501,0.526,0.549
SPBC1D7.04,mlo3,small colonies,V,7th_round_102,,96.0,92.0,0.96,45.0,1.0,0.98,0.088,0.187,0.231,0.255,0.089,0.188,0.231,0.26
SPBC216.02,num1,WT,V,17th_round_271,,96.0,92.0,0.96,45.0,1.0,0.98,0.977,0.96,0.97,0.978,0.955,0.961,0.969,0.974
SPBC216.07c,tor2,E,E,16th_round_192,,,,,,,,,,,,,,,
SPBC21B10.10,rps402,small colonies,V,17th_round_272,,96.0,96.0,1.0,48.0,0.0,1.0,0.562,0.659,0.734,0.733,0.551,0.657,0.718,0.733
SPBC21B10.15,SPBC21B10.15,small colonies,V,16th_round_222,,,,,,,,,,,,,,,
SPBC21C3.01c,vps1301,WT,V,17th_round_273,,96.0,92.0,0.96,46.0,0.0,1.0,0.964,0.981,1.017,1.036,0.927,0.93,0.931,0.923
SPBC21D10.11c,nfs1,E,E,22th_round_458,,,,,,,,,,,,,,,
SPBC21H7.04,dbp7,small colonies,V,13th_round_162,,96.0,96.0,1.0,46.0,2.0,0.96,0.054,0.206,0.246,0.284,0.055,0.203,0.244,0.285
SPBC23E6.07c,rfc1,E,E,16th_round_214,,,,,,,,,,,,,,,
SPBC23E6.08,rgp1,small colonies,V,7th_round_103,,96.0,88.0,0.92,44.0,0.0,1.0,0.439,0.484,0.524,0.534,0.426,0.491,0.523,0.54
SPBC23G7.05,sui1,E,E,22th_round_440,,,,,,,,,,,,,,,
SPBC23G7.12c,rpt6,E,E,17th_round_274,,,,,,,,,,,,,,,
SPBC23G7.16,ctr6,small colonies,V,17th_round_275,,96.0,92.0,0.96,46.0,0.0,1.0,0.727,0.762,0.797,0.822,0.745,0.763,0.783,0.812
SPBC24C6.05,sec28,WT,V,17th_round_276,,96.0,88.0,0.92,41.0,3.0,0.93,0.913,0.918,0.798,0.855,0.734,0.771,0.796,0.803
SPBC25H2.11c,spt7,small colonies,V,16th_round_204,16th_round_204_#1: 转印后难长;16th_round_204_#2: 转印后难长,48.0,24.0,0.5,9.0,3.0,0.75,0.02,0.066,0.109,0.123,0.019,0.059,0.093,0.105
SPBC25H2.15,tsr401,small colonies,V,7th_round_104,,48.0,44.0,0.92,22.0,0.0,1.0,0.102,0.243,0.339,0.406,0.104,0.247,0.31,0.354
SPBC26H8.06,grx4,E,E,22th_round_409,,,,,,,,,,,,,,,
SPBC27.06c,mgr2,small colonies,V,7th_round_105,,96.0,88.0,0.92,44.0,0.0,1.0,0.183,0.225,0.251,0.279,0.17,0.22,0.255,0.293
SPBC27B12.08,sip1,small colonies,V,22th_round_374,22th_round_374_#LV373: 克隆可见但很小,52.0,52.0,1.0,22.0,4.0,0.85,0.0,,,0.016,0.0,,,0.02
SPBC27B12.11c,pho7,small colonies,V,22th_round_468,,144.0,140.0,0.97,66.0,4.0,0.94,0.512,,,0.839,0.485,,,0.791
SPBC29A10.01,ccr1,small colonies,V,18th_round_309,,96.0,96.0,1.0,48.0,0.0,1.0,0.361,0.425,0.482,0.506,0.361,0.417,0.464,0.491
SPBC29A10.10c,dbl8,WT,V,17th_round_277,,96.0,68.0,0.71,33.0,1.0,0.97,0.955,0.962,0.931,0.896,0.949,0.956,0.955,0.953
SPBC29A10.14,rec8,small colonies,V,17th_round_278,,96.0,80.0,0.83,38.0,2.0,0.95,0.719,0.875,0.874,0.86,0.798,0.828,0.845,0.867
SPBC29A10.16c,cyb502,small colonies,V,7th_round_106,7th_round_106_#1: 克隆形状不规则;7th_round_106_#2: 克隆形状不规则,48.0,48.0,1.0,24.0,0.0,1.0,0.071,0.055,0.074,0.105,0.074,0.06,0.085,0.119
SPBC29A3.12,rps902,WT,V,22th_round_384,22th_round_384_#LV413: 像 WT;22th_round_384_#LV414: 有像有表型,52.0,52.0,1.0,26.0,0.0,1.0,0.979,,,0.903,0.91,,,0.993
SPBC29B5.01,atf1,small colonies,V,23th_round_279,23th_round_279_#1: 克隆形状不规则,48.0,48.0,1.0,24.0,0.0,1.0,0.065,0.063,0.059,0.064,0.07,0.068,0.059,0.064
SPBC2A9.06c,nus1,E,E,22th_round_456,,,,,,,,,,,,,,,
SPBC2A9.10,bmc1,WT,V,20th_round_339,,96.0,92.0,0.96,44.0,2.0,0.96,0.937,0.966,0.938,0.939,0.906,0.917,0.907,0.899
SPBC2A9.12,orc6,E,E,22th_round_403,,,,,,,,,,,,,,,
SPBC2D10.10c,fib1,E,E,1st_round_11,,,,,,,,,,,,,,,
SPBC2F12.04,rpl1701,small colonies,V,1st_round_12,,96.0,96.0,1.0,47.0,1.0,0.98,0.054,0.162,0.199,0.216,0.053,0.163,0.207,0.227
SPBC30D10.07c,bpl1,E,E,22th_round_420,,,,,,,,,,,,,,,
