systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPCC31H12.08c,ccr4,small colonies,V,18th_round_310,,96.0,76.0,0.79,38.0,0.0,1.0,0.573,0.61,0.602,0.587,0.567,0.641,0.677,0.696
SPCC320.04c,gem1,small colonies,V,22th_round_389,,52.0,52.0,1.0,23.0,3.0,0.88,0.0,,,0.064,0.002,,,0.062
SPCC338.07c,naa15,small colonies,V,"10th_round_137,17th_round_298",17th_round_298_#1: 克隆可见但转印后难长;17th_round_298_#2: 克隆可见但转印后难长,192.0,160.0,0.83,75.0,5.0,0.94,0.053,0.093,0.119,0.122,0.048,0.082,0.105,0.111
SPCC364.07,ser3,"E,small colonies",E,22th_round_387,22th_round_387_#LV425: 克隆可见但很小，且大部分一个可见一个可见,52.0,44.0,0.85,13.0,9.0,0.59,0.0,,,0.006,0.0,,,0.012
SPCC4B3.05c,hem12,E,E,11th_round_138,,,,,,,,,,,,,,,
SPCC4G3.05c,mus81,small colonies,V,11th_round_139,,48.0,44.0,0.92,19.0,3.0,0.86,0.035,0.118,0.168,0.204,0.038,0.103,0.157,0.187
SPCC4G3.12c,SPCC4G3.12c,WT,V,17th_round_299,,96.0,92.0,0.96,46.0,0.0,1.0,0.994,1.052,1.07,1.084,1.007,1.017,1.02,1.018
SPCC4G3.16,rib2,E,E,15th_round_183,,,,,,,,,,,,,,,
SPCC553.01c,dbl2,small colonies,V,23th_round_300,23th_round_300_#1: 克隆可见但转印后难长;23th_round_300_#2: 克隆可见但转印后难长,96.0,68.0,0.71,34.0,0.0,1.0,0.551,0.554,0.529,0.507,0.556,0.555,0.525,0.504
SPCC553.08c,ria1,small colonies,V,11th_round_140,11th_round_140_#1: 克隆可见但转印后长的不错;11th_round_140_#2: 克隆可见但转印后长的不错,96.0,88.0,0.92,41.0,3.0,0.93,0.0,0.0,0.015,0.033,0.0,0.0,0.014,0.032
SPCC576.11,rpl15,small colonies,V,"13th_round_168,19th_round_327",,192.0,176.0,0.92,86.0,2.0,0.98,0.023,0.141,0.178,0.215,0.029,0.133,0.176,0.203
SPCC594.02c,SPCC594.02c,small colonies,V,18th_round_311,,48.0,48.0,1.0,23.0,1.0,0.96,0.828,0.855,0.844,0.848,0.797,0.806,0.817,0.829
SPCC594.04c,SPCC594.04c,small colonies,V,22th_round_394,22th_round_394_#LV453: 好像可以区分,52.0,48.0,0.92,22.0,2.0,0.92,0.714,,,0.741,0.67,,,0.695
SPCC5E4.07,rpl2802,small colonies,V,19th_round_328,,48.0,48.0,1.0,24.0,0.0,1.0,0.02,0.108,0.162,0.203,0.017,0.106,0.155,0.205
SPCC61.01c,str2,WT,V,15th_round_184,,48.0,28.0,0.58,14.0,0.0,1.0,0.922,0.977,1.137,1.25,0.939,1.036,1.004,1.108
SPCC61.02,spt3,very small colonies,V,17th_round_301,17th_round_301_#1: 克隆轻微可见;17th_round_301_#2: 克隆轻微可见,96.0,88.0,0.92,41.0,3.0,0.93,0.0,0.0,0.009,0.017,0.0,0.0,0.009,0.017
SPCC613.07,bcd1,small colonies,V,22th_round_391,,52.0,52.0,1.0,26.0,0.0,1.0,0.0,,,0.081,0.0,,,0.087
SPCC613.08,SPCC613.08,small colonies,V,13th_round_169,,48.0,44.0,0.92,22.0,0.0,1.0,0.038,0.106,0.16,0.183,0.033,0.097,0.162,0.192
SPCC613.11c,meu23,small colonies,V,17th_round_302,,96.0,96.0,1.0,44.0,4.0,0.92,0.78,0.814,0.87,0.898,0.705,0.764,0.782,0.772
SPCC645.04,nse3,E,E,20th_round_349,,,,,,,,,,,,,,,
SPCC645.07,rgf1,small colonies,V,22th_round_368,,,,,,,,,,,,,,,
SPCC663.01c,ekc1,small colonies,V,22th_round_352,,52.0,52.0,1.0,19.0,7.0,0.73,0.0,,,0.117,0.029,,,0.132
